feature,importance
f00,0.10118016531427752
f02,0.05576732722370453
f01,0.03862309169007444
f05,0.03510124302982253
f13,0.0337361238167603
f19,0.025072262172055212
f56,0.017075780016132146
f62,0.015002134077564651
f12,0.013866785816978977
f35,0.013563651091963122
f40,0.012147740340043556
f39,0.012135018752791797
f06,0.011448473688781866
f77,0.011431771326046144
f04,0.011007397069509093
f38,0.010835035999066402
f72,0.010659268749338617
f37,0.010460344721142606
f22,0.010235019761133056
f03,0.01015142848978191
