split,model,mse,rmse,mae,median_ae,max_error,r2,explained_var,note
random,baseline_train_mean,117.39234220642318,10.834774672618863,8.100303742388032,6.614868645528986,74.38513135447101,-4.726998373372204e-05,0.0,constant=1998.385
random,baseline_train_median,129.92106897890514,11.398292371180217,7.575035589491394,5.0,78.0,-0.10677756234949198,0.0,constant=2002.000
blocked_holdout,baseline_train_mean,124.01739250755394,11.136309644920706,10.358744583581817,9.40768283840066,19.40768283840066,-6.4200582191142175,0.0,constant=2000.408
blocked_holdout,baseline_train_median,211.34592697752538,14.537741467556966,13.951061745181157,13.0,23.0,-11.644993180697467,0.0,constant=2004.000
future_extrapolation,baseline_train_mean,269.7998184487169,16.425584265063964,16.228908724028198,16.708002794654703,21.708002794654703,-41.00958143933541,0.0,constant=1989.292
future_extrapolation,baseline_train_median,163.19542536809868,12.774796490281114,12.520905929373496,13.0,18.0,-24.410586085443416,-2.220446049250313e-16,constant=1993.000
future_extrapolation,baseline_last_seen_year,36.90274235686974,6.074762740788296,5.520905929373497,6.0,11.0,-4.745996306778108,-2.220446049250313e-16,constant=2000.000
