feature,importance
f02,0.06106406967920793
f05,0.05602392616581561
f00,0.05016672956834995
f39,0.018864036265709257
f01,0.015319288095506685
f35,0.01470972853972157
f72,0.01469286279225852
f56,0.014170618984827781
f19,0.014153205902756623
f77,0.013591112157805396
f11,0.013557510183206965
f06,0.013049960977418052
f04,0.012918624556882743
f78,0.012586016584048048
f03,0.012540971824403111
f22,0.012503723549758324
f37,0.01235985926090714
f08,0.0122310763978721
f38,0.011956147465051518
f67,0.011624826387637656
